,city,lat,lon,humidity,wind,clouds,country,date,temp
115,faanui,-16.48,-151.75,77,20.54,0,PF,1595627566,77.38
116,victoria,22.29,114.16,79,5.99,100,HK,1595627559,84.0
117,quang ngai,15.12,108.8,88,3.33,0,VN,1595627834,75.2
118,saint-joseph,-21.37,55.62,59,11.41,90,RE,1595627834,66.2
119,naze,28.37,129.48,88,11.41,75,JP,1595627555,82.4
120,east london,-33.02,27.91,28,5.55,0,ZA,1595627542,64.42
121,vao,-22.67,167.48,81,19.82,93,NC,1595627594,71.19
122,ponta do sol,32.67,-17.1,61,3.94,0,PT,1595627604,71.01
123,coquimbo,-29.95,-71.34,67,12.75,0,CL,1595627551,57.2
124,bengkulu,-3.8,102.27,89,4.21,95,ID,1595627533,74.32
125,nago,26.59,127.98,88,5.82,40,JP,1595627606,82.4
126,nyurba,63.28,118.33,79,2.42,31,RU,1595627835,66.36
127,kulhudhuffushi,6.62,73.07,79,19.1,97,MV,1595627611,81.66
128,orissaare,58.56,23.08,93,17.22,90,EE,1595627835,59.0
129,palana,59.12,159.97,75,8.63,7,RU,1595627835,53.65
130,kruisfontein,-34.0,24.73,26,9.48,0,ZA,1595627575,62.64
131,chapais,49.78,-74.85,82,3.36,90,CA,1595627550,68.0
132,de aar,-30.65,24.01,42,5.57,0,ZA,1595627836,46.96
133,yulara,-25.24,130.99,75,10.29,0,AU,1595627539,41.0
134,thabazimbi,-24.59,27.41,71,4.29,0,ZA,1595627836,46.99
135,medina,24.47,39.61,25,12.75,40,SA,1595627780,100.4
136,gat,31.61,34.76,61,3.49,0,IL,1595627837,79.0
137,portland,45.52,-122.68,55,6.93,90,US,1595626983,70.0
138,saint-philippe,-21.36,55.77,59,11.41,90,RE,1595627553,66.2
139,guaraniacu,-25.1,-52.88,72,4.76,24,BR,1595627837,63.14
140,biga,40.23,27.24,60,13.87,0,TR,1595627838,75.2
141,thunder bay,48.4,-89.32,57,13.87,90,CA,1595627817,77.0
142,senador jose porfirio,-2.59,-51.95,66,4.32,84,BR,1595627838,82.89
143,saint-pierre,-21.34,55.48,59,11.41,90,RE,1595627838,66.2
144,noyabrsk,63.2,75.45,71,5.53,98,RU,1595627838,54.12
145,faya,18.39,42.45,82,4.7,40,SA,1595627839,69.8
146,cidreira,-30.18,-50.21,81,2.64,100,BR,1595627561,64.09
147,kuntaur,13.67,-14.88,77,10.65,28,GM,1595627839,81.86
148,seoul,37.57,126.98,69,3.36,90,KR,1595627830,73.4
149,baoning,25.34,110.03,94,1.95,99,CN,1595627839,75.2
150,pisco,-13.7,-76.22,68,25.28,0,PE,1595627615,68.0
151,guerrero negro,27.98,-114.06,55,17.02,0,MX,1595627670,74.62
152,dingle,11.0,122.67,86,1.59,100,PH,1595627642,76.6
153,vila,42.03,-8.16,73,3.36,0,PT,1595627560,69.8
154,korem,12.51,39.52,77,5.01,94,ET,1595627840,60.51
155,geraldton,-28.77,114.6,70,18.34,0,AU,1595627577,46.4
156,kaitangata,-46.28,169.85,53,8.01,73,NZ,1595627462,51.01
157,atakpame,7.53,1.13,95,4.45,100,TG,1595627840,71.53
158,kaputa,-8.47,29.66,52,7.94,0,ZM,1595627840,64.45
159,castro,-24.79,-50.01,75,4.36,0,BR,1595627546,59.29
160,mehamn,71.04,27.85,93,4.7,18,NO,1595627840,55.4
161,nador,35.17,-2.93,74,1.12,0,MA,1595627841,78.8
162,srikakulam,18.3,83.9,84,4.16,99,IN,1595627841,81.43
163,lorengau,-2.02,147.27,79,10.47,48,PG,1595627599,83.5
164,krumovgrad,41.47,25.65,69,3.42,2,BG,1595627841,64.62
165,ribeira grande,38.52,-28.7,72,7.52,0,PT,1595627598,70.41
166,wajir,1.75,40.06,58,22.3,24,KE,1595627842,73.94
167,cam ranh,11.92,109.16,88,4.85,20,VN,1595627842,78.8
168,baculin,7.45,126.58,76,4.41,100,PH,1595627842,78.46
169,hare bay,48.85,-54.01,82,3.36,75,CA,1595627842,68.0
170,langres,47.83,5.33,52,6.93,0,FR,1595627842,69.8
171,palmer,42.16,-72.33,51,3.0,75,US,1595627480,82.4
172,muli,2.92,73.57,74,10.02,100,MV,1595627843,82.56
173,nouadhibou,20.93,-17.03,83,13.87,0,MR,1595627549,71.6
174,atuona,-9.8,-139.03,80,19.6,24,PF,1595627544,78.75
175,grand gaube,-20.01,57.66,50,7.0,32,MU,1595627843,68.0
176,nimaparha,20.07,86.02,100,4.7,40,IN,1595627843,78.8
177,poum,-20.23,164.02,82,16.06,13,NC,1595627560,74.73
178,balagansk,54.01,103.05,79,4.72,18,RU,1595627844,51.66
179,mandurah,-32.55,115.7,93,15.5,0,AU,1595627844,50.0
180,ingham,42.6,-84.38,44,5.82,1,US,1595627844,80.6
181,komsomolskiy,40.43,71.72,41,9.17,55,UZ,1595627538,78.8
182,kavaratti,10.57,72.64,85,17.63,100,IN,1595627844,79.99
183,imeni poliny osipenko,52.42,136.49,74,4.16,47,RU,1595627845,58.78
184,pinsk,52.12,26.1,88,6.87,12,BY,1595627845,56.52
185,tonstad,58.66,6.72,92,3.2,80,NO,1595627845,53.01
186,clyde river,70.47,-68.59,76,4.7,40,CA,1595627609,51.8
187,liverpool,53.41,-2.98,100,9.17,75,GB,1595627814,62.01
188,caravelas,-17.71,-39.25,79,5.41,6,BR,1595627646,69.64
189,bangkalan,-7.05,112.74,83,6.44,100,ID,1595627846,73.44
190,bacolod,10.67,122.95,82,1.54,100,PH,1595627846,78.4
191,privas,44.58,4.5,46,5.03,0,FR,1595627846,72.0
192,miami,25.77,-80.19,59,14.99,75,US,1595627221,90.0
193,san jose,37.34,-121.89,50,12.75,20,US,1595627792,80.6
194,yumen,40.28,97.2,44,9.95,0,CN,1595627533,66.6
195,banda aceh,5.56,95.32,79,5.41,100,ID,1595627660,78.93
196,kokstad,-30.55,29.42,54,4.5,0,ZA,1595627847,44.8
197,luis correia,-2.88,-41.67,78,11.27,15,BR,1595627847,79.23
198,mbandaka,0.05,18.26,78,1.57,8,CD,1595627847,73.74
199,boden,65.83,21.69,93,3.36,100,SE,1595627600,55.4
200,inirida,3.87,-67.92,82,2.53,32,CO,1595627847,79.0
201,santa lucia,27.91,-15.54,78,29.97,20,ES,1595627848,72.0
202,sur,22.57,59.53,64,14.32,25,OM,1595627593,86.16
203,santa cruz,-17.8,-63.17,82,4.7,75,BO,1595627608,59.0
204,sucha beskidzka,49.74,19.59,93,8.05,100,PL,1595627848,60.8
205,malakal,9.53,31.66,93,4.74,92,SS,1595627848,72.34
206,hambantota,6.12,81.12,94,4.7,87,LK,1595627848,75.2
207,cherskiy,68.75,161.3,56,1.7,15,RU,1595627529,72.34
208,barranca,-10.75,-77.77,77,12.26,39,PE,1595627848,63.3
209,gillette,44.29,-105.5,23,6.93,1,US,1595627769,86.0
210,peleduy,59.63,112.74,88,8.48,68,RU,1595627636,59.38
211,carnarvon,-24.87,113.63,81,6.93,0,AU,1595627525,51.8
212,tasiilaq,65.61,-37.64,81,9.17,81,GL,1595627526,42.8
213,vanderhoof,54.02,-124.02,58,1.03,99,CA,1595627664,61.57
214,daokou,35.56,114.51,73,8.32,82,CN,1595627849,73.38
215,zhovtneve,50.66,24.25,92,5.97,99,UA,1595627849,59.49
216,weatherford,32.76,-97.8,53,5.01,82,US,1595627850,93.99
217,mitsamiouli,-11.38,43.28,66,7.45,51,KM,1595627657,77.23
218,sitka,57.05,-135.33,82,8.05,90,US,1595627443,59.0
219,shingu,33.73,135.98,95,5.68,100,JP,1595627554,75.18
220,manta,-0.95,-80.73,83,13.87,20,EC,1595627632,73.4
221,tiznit,29.58,-9.5,43,2.13,0,MA,1595627589,77.68
222,pathein,16.78,94.73,87,5.21,81,MM,1595627850,79.56
223,cayenne,4.93,-52.33,70,8.05,97,GF,1595627665,84.2
224,shetpe,44.17,52.12,50,7.07,10,KZ,1595627851,76.46
225,salisbury,51.07,-1.8,82,10.29,100,GB,1595627602,62.6
226,chuy,-33.7,-53.46,90,6.44,100,UY,1595627536,47.98
227,kloulklubed,7.04,134.26,94,5.82,90,PW,1595627579,77.0
228,byron bay,-28.65,153.62,93,5.82,75,AU,1595627403,60.8
229,verkhnetulomskiy,68.61,31.8,82,11.18,75,RU,1595627851,64.4
230,iqaluit,63.75,-68.51,81,4.7,75,CA,1595627571,48.2
231,airai,-8.93,125.41,78,3.2,48,TL,1595627618,51.91
